Model Group,Class,Img AUROC,Img Accuracy,Img F1,Img Precision,Img Recall,Img PR-AUC,Img PG2,Pix AUROC,Pix Accuracy,Pix F1,Pix Precision,Pix Recall,Pix PR-AUC,Pix PG2,Latency (ms/img),Peak RAM (MB),Peak VRAM (MB)
CBAMDiffernet,glass-insulator,0.6889939125192057,0.7566371681415929,0.34782608695652173,0.26506024096385544,0.5057471264367817,0.2581213326907641,0.15736040609137059,,,,,,,,41.80459181467692,1880.8828125,3118.62744140625
CBAMDiffernet,lightning-rod-suspension,0.9091415830546266,0.8957055214723927,0.8,0.8717948717948718,0.7391304347826086,0.8407557803802034,0.15384615384615385,,,,,,,,37.759443002244446,1914.02734375,5316.80126953125
CBAMDiffernet,polymer-insulator-upper-shackle,0.9040477426050857,0.8422712933753943,0.7395833333333334,0.6454545454545455,0.8658536585365854,0.7105837427772641,0.46382978723404256,,,,,,,,38.1253938945686,1945.03515625,6010.44970703125
CBAMDiffernet,vari-grip,0.8767543859649123,0.8181818181818182,0.6585365853658537,0.6428571428571429,0.675,0.7159313602315434,0.5,,,,,,,,37.79839230822278,1946.33203125,6708.87548828125
CBAMDiffernet,yoke-suspension,0.8112279817009473,0.8762968874700718,0.24390243902439024,0.15723270440251572,0.5434782608695652,0.1283474228202128,0.3206296603148302,,,,,,,,36.13189859382648,1949.8046875,7374.16259765625
Differnet,glass-insulator,0.3984090864889044,0.12979351032448377,0.22774869109947643,0.12850812407680945,1.0,0.10447928281240927,0.0033840947546531774,,,,,,,,40.51244364375562,1952.41015625,6054.25927734375
Differnet,lightning-rod-suspension,0.9364548494983278,0.9202453987730062,0.8505747126436781,0.9024390243902439,0.8043478260869565,0.9157792613587167,0.11965811965811968,,,,,,,,12.506155879950963,2028.24609375,6712.10498046875
Differnet,polymer-insulator-upper-shackle,0.9443694862480538,0.9148264984227129,0.8421052631578947,0.8089887640449438,0.8780487804878049,0.7949170556935775,0.6,,,,,,,,12.742770583095611,2028.3125,7389.84228515625
Differnet,vari-grip,0.8701754385964913,0.8441558441558441,0.6923076923076923,0.7105263157894737,0.675,0.7138298250533296,0.45614035087719296,,,,,,,,13.775542184904024,2612.43359375,8065.61181640625
Differnet,yoke-suspension,0.8631173228630092,0.9545091779728652,0.4,0.3877551020408163,0.41304347826086957,0.2950366083288407,0.11764705882352944,,,,,,,,13.644790421080229,3289.46484375,8727.83642578125
SEDiffernet,glass-insulator,0.7849738413365229,0.7964601769911505,0.425,0.3333333333333333,0.5862068965517241,0.34499984853759824,0.18781725888324874,,,,,,,,21.699363854782423,3973.76953125,9401.40380859375
SEDiffernet,lightning-rod-suspension,0.9672984020810108,0.9447852760736196,0.8941176470588236,0.9743589743589743,0.8260869565217391,0.9502848325826321,0.3162393162393162,,,,,,,,119.58792019475457,4642.48828125,10065.37158203125
SEDiffernet,polymer-insulator-upper-shackle,0.9551115723923197,0.9211356466876972,0.8427672955974843,0.8701298701298701,0.8170731707317073,0.8965166887225661,0.6425531914893616,,,,,,,,18.661555431618673,4641.72265625,9577.369140625
SEDiffernet,vari-grip,0.918640350877193,0.8441558441558441,0.75,0.6428571428571429,0.9,0.7536867682944626,0.5701754385964912,,,,,,,,18.110874411347623,4641.890625,6051.52392578125
SEDiffernet,yoke-suspension,0.9538020964662657,0.9608938547486033,0.5242718446601942,0.47368421052631576,0.5869565217391305,0.43011911300702205,0.7307373653686826,,,,,,,,21.393018823001068,4643.39453125,6704.17041015625
